date,conflict,rains&floodings,fire,event-title,event-desc
15/04/2023,14,0,0,15 April 2023:,Onset of the conflict between Sudanese Armed Forces (SAF) and Rapid Support Forces (RSF)
01/05/2023,1,0,0,,
01/06/2023,7,0,0,,
01/07/2023,18,1,0,,
01/08/2023,8,3,0,,
01/09/2023,5,5,0,,
01/10/2023,19,1,0,,
01/11/2023,22,2,0,,
01/12/2023,30,0,0,December 2023: Expansion of the Conflict in Aj Jazirah ,"The expansion of conflict into Aj Jazirah state, as well as other central states, triggered significant displacement, including of IDPs who were initially displaced from Khartoum."
01/01/2024,21,0,4,,
01/02/2024,7,0,5,,
01/03/2024,15,0,8,,
01/04/2024,20,,13,"April 2024: Escalation in Clashes Across Al Fasher,","North Darfur An escalation in clashes across North Darfur state, particularly in Al Fasher locality, triggered waves of on-going displacement."
01/05/2024,21,1,0,,
01/06/2024,27,4,0,June 2024:,"1- Clashes Across West Kordofan
Clashes between SAF and RSF across Al Fula town and other locations in As Salam locality, West Kordofan led to significant displacement.
2- Escalation Across Sennar
Clashes across Sinja and Sennar localities, Sennar in late June 2024 triggered widespread displacement."
01/07/2024,12,79,0,July 2024: Rain and Floods ,Heavy rain and floods throughout July and August 2024 led to widespread displacement from locations across 15 different states.
01/08/2024,9,42,0,,
01/09/2024,11,2,0,September 2024: Renewed Clashes in Aj Jazirah,A second period of intense clashes across Aj Jazirah state triggered displacement.
01/10/2024,30,1,0,,
01/11/2024,22,3,0,November 2024: Continued Clashes across Aj Jazirah,led to widespread displacement between October and November 2024
01/12/2024,31,0,0,,
01/01/2025,16,0,0,January 2025: Highest-Recorded IDP Population ,"The total number of IDPs in Sudan reached a peak of 11,585,384 IDPs, including those displaced both before and after 15 April 2023."
01/02/2025,11,0,0,February 2025: Total IDP Population Decreased,The total IDP population in Sudan decreased for the first time due to increased return movements to areas of origin.
01/03/2025,3,0,0,,
01/04/2025,14,0,3,April 2025: Attacks on ZamZam IDP Camp,"Attacks on Zamzam IDP Camp, as well as other locations across Al Fasher, led to significant displacement across the Darfur region."
01/05/2025,15,0,2,,
01/06/2025,16,0,1,,
01/07/2025,4,2,0,,
01/08/2025,6,12,0,August 2025: Rain and Floods ,Heavy rain and floods triggered displacement across seven different states.
01/09/2025,3,12,0,,
01/10/2025,25,2,2,October 2025: Displacement from Al Fasher Town,"An estimated 107,294 individuals were displaced from Al Fasher town and surrounding villages after 26 October 2025."
01/11/2025,20,0,4,,
01/12/2025,37,0,3,November and December 2025:, Heightened insecurity triggered widespread displacement across North Kordofan and South Kordofan.
01/01/2026,26,0,2,January 2026:,Continued insecurity across the Kordofan region triggered displacement.
01/02/2026,1,0,0,,
01/03/2026,10,0,11,,
